Project,ReflectiveTarget,Type
boot-dubbo,org.apache.ibatis.session.SqlSession,Type 1
boot-dubbo,org.apache.ibatis.session.RowBounds,Type 1
boot-dubbo,org.apache.ibatis.session.ResultHandler,Type 1
boot-dubbo,org.apache.ibatis.session.Configuration,Type 1
boot-dubbo,org.apache.ibatis.scripting.xmltags.XMLLanguageDriver,Type 1
boot-dubbo,org.apache.ibatis.scripting.defaults.RawLanguageDriver,Type 1
boot-dubbo,org.aopalliance.aop.Advice,Type 1
boot-dubbo,ch.qos.logback.core.UnsynchronizedAppenderBase,Type 1
boot-dubbo,ch.qos.logback.core.spi.LifeCycle,Type 1
boot-dubbo,ch.qos.logback.core.spi.FilterReply,Type 1
boot-dubbo,ch.qos.logback.core.spi.FilterAttachable,Type 1
boot-dubbo,ch.qos.logback.core.spi.ContextAwareBase,Type 1
boot-dubbo,ch.qos.logback.core.spi.ContextAware,Type 1
boot-dubbo,ch.qos.logback.core.rolling.TriggeringPolicyBase,Type 1
boot-dubbo,ch.qos.logback.core.rolling.TriggeringPolicy,Type 1
boot-dubbo,ch.qos.logback.core.rolling.helper.IntegerTokenConverter,Type 1
boot-dubbo,ch.qos.logback.core.pattern.PatternLayoutEncoderBase,Type 1
boot-dubbo,ch.qos.logback.core.OutputStreamAppender,Type 1
boot-dubbo,ch.qos.logback.core.Layout,Type 1
boot-dubbo,ch.qos.logback.core.filter.Filter,Type 1
boot-dubbo,ch.qos.logback.core.FileAppender,Type 1
boot-dubbo,ch.qos.logback.core.encoder.LayoutWrappingEncoder,Type 1
boot-dubbo,ch.qos.logback.core.encoder.EncoderBase,Type 1
boot-dubbo,ch.qos.logback.core.encoder.Encoder,Type 1
boot-dubbo,ch.qos.logback.core.AppenderBase,Type 1
boot-dubbo,ch.qos.logback.core.Appender,Type 1
boot-dubbo,ch.qos.logback.classic.spi.ILoggingEvent,Type 1
boot-dubbo,ch.qos.logback.classic.encoder.PatternLayoutEncoder,Type 1
boot-dubbo,boot.dubbo.infrastructure.repo.UserRepo,Type 1
boot-dubbo,boot.dubbo.infrastructure.repo.ComplexQueryRepo,Type 1
boot-dubbo,boot.dubbo.infrastructure.AppTest,Type 1
boot-dubbo,boot.dubbo.infrastructure.ApplicationBootstrapTest,Type 1
boot-dubbo,boot.dubbo.infrastructure.ApplicationBootstrap,Type 1
boot-dubbo,org.h2.store.fs.FilePathZip,Type 2
boot-dubbo,org.h2.store.fs.FilePathSplit,Type 2
boot-dubbo,org.h2.store.fs.FilePathNioMemLZF,Type 2
boot-dubbo,org.h2.store.fs.FilePathNioMem,Type 2
